source,original_path,class,original_split,filename,bbox_location,bbox_label,split,unified_path,original_category
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\152_0.jpg,diabetic,train,152_0.jpg,294,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_152_0.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\toes\toes-00431.jpg,diabetic,,toes-00431.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_toes-00431.jpg,toes
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\foot-ulcers\foot-ulcer-3-2.jpg,diabetic,,foot-ulcer-3-2.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_foot-ulcer-3-2.jpg,foot-ulcers
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\toes\toes-0016.jpg,diabetic,,toes-0016.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_toes-0016.jpg,toes
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\foot-ulcers\foot-ulcer-3-6.jpg,diabetic,,foot-ulcer-3-6.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_foot-ulcer-3-6.jpg,foot-ulcers
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\51_0.jpg,diabetic,train,51_0.jpg,83,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_51_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\87_0.jpg,diabetic,train,87_0.jpg,298,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_87_0.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\foot-ulcers\foot-ulcer-0015.jpg,diabetic,,foot-ulcer-0015.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_foot-ulcer-0015.jpg,foot-ulcers
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\toes\toes-0020.jpg,diabetic,,toes-0020.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_toes-0020.jpg,toes
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\foot-ulcers\foot-ulcer-0017.jpg,diabetic,,foot-ulcer-0017.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_foot-ulcer-0017.jpg,foot-ulcers
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\foot-ulcers\foot-ulcer-0031.jpg,diabetic,,foot-ulcer-0031.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_foot-ulcer-0031.jpg,foot-ulcers
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\toes\toes-0009.jpg,diabetic,,toes-0009.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_toes-0009.jpg,toes
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\36_0.jpg,diabetic,train,36_0.jpg,237,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_36_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\29_0.jpg,diabetic,train,29_0.jpg,81,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_29_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\132_1.jpg,diabetic,train,132_1.jpg,235,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_132_1.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\86_0.jpg,diabetic,train,86_0.jpg,300,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_86_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\28_0.jpg,diabetic,train,28_0.jpg,294,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_28_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Test\Test\D\142_0.jpg,diabetic,test,142_0.jpg,294,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_142_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\43_0.jpg,diabetic,train,43_0.jpg,303,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_43_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Test\Test\D\121_0.jpg,diabetic,test,121_0.jpg,227,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_121_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\103_0.jpg,diabetic,train,103_0.jpg,83,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_103_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\95_0.jpg,diabetic,train,95_0.jpg,230,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_95_0.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\toes\toes-0015.jpg,diabetic,,toes-0015.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_toes-0015.jpg,toes
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Test\Test\D\129_3.jpg,diabetic,test,129_3.jpg,255,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_129_3.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\toes\toes-0013.jpg,diabetic,,toes-0013.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_toes-0013.jpg,toes
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\9_2.jpg,diabetic,train,9_2.jpg,287,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_9_2.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\73_0.jpg,diabetic,train,73_0.jpg,276,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_73_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\83_0.jpg,diabetic,train,83_0.jpg,235,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_83_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Test\Test\D\8_0.jpg,diabetic,test,8_0.jpg,299,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_8_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\104_0.jpg,diabetic,train,104_0.jpg,220,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_104_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\55_0.jpg,diabetic,train,55_0.jpg,236,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_55_0.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\toes\toes-0029.jpg,diabetic,,toes-0029.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_toes-0029.jpg,toes
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\37_0.jpg,diabetic,train,37_0.jpg,294,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_37_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\24_0.jpg,diabetic,train,24_0.jpg,47,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_24_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\50_0.jpg,diabetic,train,50_0.jpg,302,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_50_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\97_0.jpg,diabetic,train,97_0.jpg,304,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_97_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\99_0.jpg,diabetic,train,99_0.jpg,294,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_99_0.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\foot-ulcers\foot-ulcer-0003.jpg,diabetic,,foot-ulcer-0003.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_foot-ulcer-0003.jpg,foot-ulcers
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\144_0.jpg,diabetic,train,144_0.jpg,217,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_144_0.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\foot-ulcers\foot-ulcer-2-2.jpg,diabetic,,foot-ulcer-2-2.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_foot-ulcer-2-2.jpg,foot-ulcers
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\7_1.jpg,diabetic,train,7_1.jpg,253,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_7_1.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\146_2.jpg,diabetic,train,146_2.jpg,231,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_146_2.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\98_0.jpg,diabetic,train,98_0.jpg,258,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_98_0.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\toes\toes-0032.jpg,diabetic,,toes-0032.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_toes-0032.jpg,toes
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\foot-ulcers\foot-ulcer-2-4.jpg,diabetic,,foot-ulcer-2-4.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_foot-ulcer-2-4.jpg,foot-ulcers
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\148_0.jpg,diabetic,train,148_0.jpg,248,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_148_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\78_0.jpg,diabetic,train,78_0.jpg,273,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_78_0.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\foot-ulcers\foot-ulcer-0001.jpg,diabetic,,foot-ulcer-0001.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_foot-ulcer-0001.jpg,foot-ulcers
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\131_1.jpg,diabetic,train,131_1.jpg,373,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_131_1.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\66_0.jpg,diabetic,train,66_0.jpg,217,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_66_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\72_0.jpg,diabetic,train,72_0.jpg,266,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_72_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Test\Test\D\129_0.jpg,diabetic,test,129_0.jpg,252,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_129_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\64_2.jpg,diabetic,train,64_2.jpg,275,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_64_2.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\124_0.jpg,diabetic,train,124_0.jpg,260,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_124_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\22_0.jpg,diabetic,train,22_0.jpg,300,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_22_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Test\Test\D\33_0.jpg,diabetic,test,33_0.jpg,301,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_33_0.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\toes\toes-0022.jpg,diabetic,,toes-0022.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_toes-0022.jpg,toes
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Test\Test\D\23_1.jpg,diabetic,test,23_1.jpg,302,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_23_1.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\44_0.jpg,diabetic,train,44_0.jpg,83,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_44_0.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\foot-ulcers\foot-ulcer-0006.jpg,diabetic,,foot-ulcer-0006.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_foot-ulcer-0006.jpg,foot-ulcers
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\113_0.jpg,diabetic,train,113_0.jpg,298,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_113_0.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\foot-ulcers\foot-ulcer1-1.jpg,diabetic,,foot-ulcer1-1.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_foot-ulcer1-1.jpg,foot-ulcers
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\109_0.jpg,diabetic,train,109_0.jpg,231,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_109_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\133_0.jpg,diabetic,train,133_0.jpg,231,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_133_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\96_0.jpg,diabetic,train,96_0.jpg,303,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_96_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\147_0.jpg,diabetic,train,147_0.jpg,243,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_147_0.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\toes\toes-0011.jpg,diabetic,,toes-0011.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_toes-0011.jpg,toes
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\102_0.jpg,diabetic,train,102_0.jpg,294,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_102_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Test\Test\D\56_0.jpg,diabetic,test,56_0.jpg,218,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_56_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Test\Test\D\82_0.jpg,diabetic,test,82_0.jpg,234,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_82_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Test\Test\D\56_1.jpg,diabetic,test,56_1.jpg,230,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_56_1.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\toes\toes-0006.jpg,diabetic,,toes-0006.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_toes-0006.jpg,toes
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\88_0.jpg,diabetic,train,88_0.jpg,303,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_88_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Test\Test\D\45_0.jpg,diabetic,test,45_0.jpg,82,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_45_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\71_0.jpg,diabetic,train,71_0.jpg,426,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_71_0.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\toes\toes-0025.jpg,diabetic,,toes-0025.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_toes-0025.jpg,toes
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\122_1.jpg,diabetic,train,122_1.jpg,294,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_122_1.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\foot-ulcers\foot-ulcer-0008.jpg,diabetic,,foot-ulcer-0008.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_foot-ulcer-0008.jpg,foot-ulcers
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\42_0.jpg,diabetic,train,42_0.jpg,271,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_42_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\60_0.jpg,diabetic,train,60_0.jpg,249,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_60_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\47_0.jpg,diabetic,train,47_0.jpg,284,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_47_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\13_0.jpg,diabetic,train,13_0.jpg,234,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_13_0.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\foot-ulcers\foot-ulcer-2-1.jpg,diabetic,,foot-ulcer-2-1.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_foot-ulcer-2-1.jpg,foot-ulcers
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\116_0.jpg,diabetic,train,116_0.jpg,481,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_116_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\85_0.jpg,diabetic,train,85_0.jpg,300,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_85_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\125_0.jpg,diabetic,train,125_0.jpg,304,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_125_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Test\Test\D\138_1.jpg,diabetic,test,138_1.jpg,254,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_138_1.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\26_0.jpg,diabetic,train,26_0.jpg,46,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_26_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\135_0.jpg,diabetic,train,135_0.jpg,284,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_135_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Test\Test\D\138_0.jpg,diabetic,test,138_0.jpg,249,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_138_0.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\toes\toes-0008.jpg,diabetic,,toes-0008.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_toes-0008.jpg,toes
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\100_0.jpg,diabetic,train,100_0.jpg,483,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_100_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Test\Test\D\61_0.jpg,diabetic,test,61_0.jpg,246,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_61_0.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\toes\toes-0003.jpg,diabetic,,toes-0003.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_toes-0003.jpg,toes
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\foot-ulcers\foot-ulcer1-2.jpg,diabetic,,foot-ulcer1-2.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_foot-ulcer1-2.jpg,foot-ulcers
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\139_1.jpg,diabetic,train,139_1.jpg,281,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_139_1.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\foot-ulcers\foot-ulcer-0005.jpg,diabetic,,foot-ulcer-0005.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_foot-ulcer-0005.jpg,foot-ulcers
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\foot-ulcers\foot-ulcer-0016.jpg,diabetic,,foot-ulcer-0016.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_foot-ulcer-0016.jpg,foot-ulcers
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\49_0.jpg,diabetic,train,49_0.jpg,294,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_49_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\92_0.jpg,diabetic,train,92_0.jpg,275,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_92_0.jpg,
azh,C:\Users\skgin\Downloads\majorer - Copy\data\azh\Train\Train\D\136_0.jpg,diabetic,train,136_0.jpg,277,1,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\azh_136_0.jpg,
medetec,C:\Users\skgin\Downloads\majorer - Copy\data\medetec-dataset\foot-ulcers\foot-ulcer-0025.jpg,diabetic,,foot-ulcer-0025.jpg,-1,0,train,C:\Users\skgin\Downloads\majorer - Copy\data\unified\train\diabetic\medetec_foot-ulcer-0025.jpg,foot-ulcers
